Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,DaySinceLastOrder,CashbackAmount,Churn
5,3,13,1,3,4,2,3,0,2,0,14,1,8,155,0
11,1,31,0,2,4,0,4,0,4,0,17,1,4.2,221,0
30,1,6,1,2,5,2,3,1,3,1,13,1,2,157,0
4,1,11,1,2,3,4,2,0,1,1,12,0,3,148,0
4,2,8,1,3,4,2,5,0,4,0,12,0,0,164,0
18,1,13,1,3,3,0,5,1,2,0,18,5,11,152,0
4,1,8,1,2,3,3,2,1,1,1,18,1,2,127,0
6,1,11,0,3,3,0,4,0,7,0,11,2,9.4,219,0
12,1,16,1,2,3,1,5,0,2,1,14,3.4,10,271,0
16,1,15.4,0,2,3,3,2,2,1,0,19,0,7,125,0
22,1,6,0,2,4,1,3,2,8,1,12,1,7,240,0
15,1,14,1,2,4,2,4,0,3,0,15,7,7,149,1
0,1,18,0,2,3,3,4,2,2,1,12,0,2,125,0
5,3,14,0,3,4,2,4,0,2,1,11,6,9,152,0
0,3,8,1,3,3,2,3,2,2,1,11,1,4,145,0
4,3,13,1,3,3,2,2,1,5,0,12,0,7,175,0
5,1,8,0,3,2,2,2,2,8,0,16,1,7,151,0
0,1,8,1,2,5,3,2,0,6,1,13,2,2,135,1
3,1,34,0,3,3,2,2,0,2,0,13,0,9,158,0
4,1,13,0,2,4,0,3,0,2,0,24,3,9,189,0
12,1,5,1,2,4,5,2,0,2,0,15.4,9,3,293,0
2,3,9,0,2,3,2,3,0,5,1,18,1,0,152,1
6,3,16,1,2,4,2,2,2,4,0,14,1,1,147,0
20,1,11,1,2,3,5,3,0,5,0,11,2.2,1,283,0
16,1,16,0,2,4,2,3,1,2,0,11,0,0,153,0
0,3,6,1,3,3,2,4,0,1,1,13,0,4,163,0
27,1,26,0,2,3,2,3,2,4,0,12,1,3,149,0
16,1,13,0,2,3,0,5,0,9,0,16,1,0,200,0
18,1,14,1,3,3,2,2,0,10,0,14,7,8,137,0
13,3,6,1,2,5,2,2,0,3,1,22,1,2,175,0
3.4,1,14,1,3,5,3,5,0,2,1,11,1,7,121,1
2,1,15,1,1,4,4,2,2,1,0,17,2,2,140,0
3,3,11,0,1,4,2,3,1,2,0,13,0,2,161,0
0,3,14,0,2,3,2,4,0,2,0,18,0,7,162,0
10,1,11,1,3,3,2,2,1,8,0,16,0,4,163,0
11,1,21,1,3,4,0,2,1,1,1,14,1,7.6,215,0
4,1,13,0,2,3,0,2,2,2,1,14,2,10,171,0
2,3,16,0,2,4,2,4,1,2,1,14,0,7,183,0
8,1,11,1,3,3,0,4,2,1,0,13,0,13,181,0
0,1,32,1,2.6,3,3,2,1,2,0,12,1,2,129,0
14,1,12,1,3,4,2,4,2,7,1,15,1,2,160,0
20,3,10,1,2.8,3,2,3,2,4,0,19,0,0,130,0
15,1,29,0,2,3,1,2,2,3,0,14,0,0,260,0
2,3,8,1,3,3,2,3,0,2,0,14,1,2,146,0
15,2,8,1,2.4,3,3,3,1,1,1,11,1,0,127,0
5,1,18.2,0,3,3,3,4,0,2,0,13,0,7,124,0
21,3,35,0,3,3,0,3,0,4,0,21,0,4.6,225,0
10,1,12,1,2,2,2,5,1,5,1,13,2,7,160,0
3,3,31,0,2,3,2,3,0,8,1,12,1,2,147,0
0,3,6,1,2,3,2,3,0,2,0,17,2,7,153,0
15,1,8,1,3,4,2,2,2,4,0,23,0,0,168,0
4.8,3,6,0,2,4,3,4,2,2,1,11,1,2,122,1
9,3,6,0,2,3,2,2,2,5,0,15,1,0,167,0
9,3,9,1,2,4,0,2,0,5,0,11,0,12,197,0
30,1,6,1,2,3,2,3,0,3,0,11,1,2,168,0
4.8,1,16,0,2,2,3,3,0,4,1,13,0,7,122,0
0,3,25.6,1,2,3,3,2,2,2,0,24,0,2,126,0
0,3,11,0,2.6,3,3,3,2,2,1,13,1,0,129,1
10,1,16,0,3,3,3,5,0,7,0,20,1,3,135,0
19,1,13,0,1,3,2,3,0,3,0,14,0,0,153,0
4,3,10,1,2,3,2,4,2,2,0,18,7,7,194,1
23,1,16,1,3,4,0,2,2,7,0,15,0,3,205,0
3,3,28,1,3,4,2,3,0,3,1,12,1,0,164,1
4,1,19,1,2,4,3,4,2,1,1,16,1,2,127,0
0,3,18,0,2.4,2,3,4,2,2,0,15,0,0,127,1
14.4,1,29,1,2,3,3,2,2,10,0,16,1,2,122,0
8,1,15,1,3,4,2,4,2,10,0,19,1,0,165,0
0,1,6,1,2,3,4,4,1,2,0,11,0,4,138,0
1,3,15,1,3,3,2,2,2,2,0,16,1,7,153,0
22,1,13,1,2,4,0,3,2,9,0,24,1,0,145,0
24,3,20,0,2,3,2,2,0,5,0,11,0,7,149,0
9,1,17.2,0,3,3,3,3,0,5,0,13,1,2,125,0
0,3,25,1,3,2,2,2,2,9,1,13,1,4,153,1
28,1,8,0,3,3,1,2,2,3,1,13,1,2,267,0
0,3,16,0,3,3,2,3,1,2,1,12,0,3,143,0
3,3,18,1,3,3,3,4,0,2,0,18,1,0,125,0
0,1,9,1,2.4,3,3,5,2,1,0,22,0,4,131,1
11.2,1,17,0,2,3,3,4,0,2,0,13,1,2,122,0
9,3,8,1,3,4,0,3,0,2,0,13,9,0,176,0
7.2,1,10,1,2,3,3,2,2,19,1,23,1,0,123,1
10,1,20,0,2.2,3,3,5,1,2,0,12,3,17,130,0
13,3,8,0,2,3,2,4,1,8,0,12,0,3,157,0
15,1,24.4,0,3,3,3,5,1,4,0,16,1,2,126,0
10,1,16,1,2,3,2,4,2,3,1,12,0,1,142,0
16,1,18,1,2,4,1,4,1,2,0,11,0,9,243,0
13,1,8,0,3,4,2,3,0,7,0,22,1,0,134,0
27,1,11,1,2,3,5,5,0,5,0,13.6,1,2,294,0
7,3,10,0,3,3,2,3,0,10,0,15,1,2,165,0
4,1,13,0,2,3,2,5,0,2,0,12,3,12,143,0
7.4,1,27,1,3,3,3,2,0,8,0,20,0,2,123,0
16,1,14,0,3,3,2,3,1,5,1,14,0,2,145,0
0,3,10,0,2,4,2,2,2,2,1,11,0,3,145,0
10,1,31,0,3,3,2,3,0,4,1,15,3,7,144,0
7.4,1,6,1,3,4,3,5,0,2,0,12,0,2,122,0
12,1,6,1,2,3,5,3,1,2,1,14,0,6,292,0
29,3,12,0,2,2,1,5,0,10,0,11,2,7,232,0
3,3,18,0,2,3,2,3,2,1,0,11,3,4,166,0
14,3,6,1,2,2,0,5,0,2,0,16,1,7,184,0
1,1,23,1,3,3,2,5,1,2,0,12,0,8,146,0
0,1,9,1,3,3,4,5,0,6,0,13,1,2,140,1
25,1,9,1,2,4,0,3,0,3,1,14,0,4,180,0
18,1,10.8,1,3,3,3,2,0,4,0,21,1,2,127,0
25,1,10,0,1,3,1,2,0,3,0,13,1.4,4,266,0
15,1,35,0,3,3,2,3,1,3,0,11,1,2,146,0
3,1,8,0,2,5,2,2,2,3,0,20,0,2,161,0
30,1,13,0,2,3,5,5,0,6,0,14,0,10,296,0
19,1,24,0,2,3,2,3,1,3,0,14,0,8,148,0
15,1,34,0,2,4,2,2,0,1,0,11,0,4,145,0
0,3,6,0,3,3,3,4,2,2,1,16,1,4,132,1
0,3,18.6,0,2,5,3,3,1,1,0,16,1,0,124,1
0,1,8,1,2,3,4,2,0,2,1,23,1,0,117,0
13,3,8,0,3,3,5,3,0,1,0,14,1,12,280,0
0,1,29,0,2.2,3,3,2,1,2,0,22,1,2,129,0
11.6,1,9,1,2,3,3,2,0,5,0,15,0,4,121,0
2,1,9,1,3,4,0,3,0,2,0,18,1,6.4,219,0
0,1,19.4,0,3,4,3,4,0,6,0,16,0,1,125,1
0,2,17,1,2,4,3,2,2,2,0,12,1,0,126,1
3,3,28,0,3,3,0,5,0,1,0,11,2,8,184,0
30,3,35,1,2,4,1,2,1,4,0,12,0,0,241,0
23,1,35,1,2,4,1,3,0,1,0,15,2.4,7,270,0
3,1,8.8,0,2,3,3,2,2,1,0,14,5,7,126,0
30,3,34,0,3,4,0,5,0,5,0,19,13,11,203,0
20,1,8,0,3,3,2,2,1,6,0,13,0,4,151,0
19,1,8,1,2,3,1,3,0,7,0,13,2.2,1,279,0
8,1,28,1,2,5,4,3,2,1,0,15,2,3,142,0
27,1,14,0,2,3,2,3,2,8,0,11,1,0,138,0
7,1,8,1,2.8,4,3,3,1,4,0,12,5,7,128,0
19,3,16,0,3,4,0,2,0,3,1,19,1,2,191,0
4,1,15,1,2,3,0,4,1,2,0,25,1,8,206,0
0,1,21,1,2,3,0,3,0,8,1,12,0,7,236,1
0,1,16,1,2,5,3,2,1,8,0,13,0,3,134,1
3,3,13,1,2.6,3,3,4,2,1,0,14,1,2,130,0
8,1,22,1,3,3,0,3,0,5,1,12,0,0,176,0
0,1,26,1,3,3,0,3,0,4,0,12,1,0,198,1
0,2,29,0,2,3,0,5,1,10,1,15,1,2,200,1
10.2,1,11,1,3,3,3,3,0,5,0,17,2,0,121,0
9,3,16,1,2,3,0,2,2,2,0,14,1,7,200,0
0,1,10,1,2,4,4,3,2,6,0,16,1,2,139,1
21,3,8,0,2,3,2,2,0,3,0,14,4,7,141,0
28,3,24,0,2,3,1,4,2,4,0,23,0.8,7,268,0
14,3,16,1,2,3,2,2,2,8,0,14,0,10,162,0
8,3,6,1,2,3,2,3,0,10,0,11,3,9,147,0
13,1,12,0,3,3,1,3,2,8,0,15,4,13,232,0
12,1,14,0,2,3,4,3,0,2,0,11,0,7,138,0
4,3,8,1,3,3,2,2,2,5,1,13,1,5,166,0
15,1,30,1,2,3,0,5,0,2,1,21,4,8,174,0
18,3,8,1,3,3,2,4,0,1,0,19,3,7,148,0
0,2,23,0,2.8,3,3,3,1,1,1,11,0,0,127,1
2,1,25,1,2,3,2,2,1,5,0,12,0,2,143,0
6,1,6,0,3,2,1,3,1,5,0,19,3.4,5,262,0
0,3,13,1,2,4,0,2,1,10,0,21,1,4.4,216,0
1.6,3,11,1,3,3,4,4,2,2,1,14,1,0,119,1
13,3,34,1,2,5,0,5,1,4,0,15,1,1.2,209,0
14,1,8,0,3,4,2,3,2,3,1,17,0,7,168,0
0,3,35,1,2,3,2,3,1,6,0,12,1,0,143,0
8,3,6,0,3,3,2,3,2,2,0,16,0,3,149,0
7,3,27,1,3,2,2,2,2,2,0,12,5,7,153,0
0,1,10.6,1,3,5,3,2,2,2,1,18,1,0,123,1
10,1,6,0,2,3,0,2,2,5,0,17,1,2,175,0
19,1,24,0,2,3,0,3,0,6,0,11,1,2,205,0
14,3,8,0,3,3,1,5,0,8,0,16,4,8,266,0
10,3,15,1,3,3,0,4,1,2,0,13,6,7,188,0
25,1,12,1,3,3,2,5,1,4,1,12,2,9,156,0
0,3,17,1,2,2,2,3,0,9,0,12,1,2,147,1
0,3,18,1,2,3,3,2,0,1,0,13,0,1,124,0
11,1,16,0,3,3,2,3,0,4,0,19,1,0,198,0
10,1,6,0,3,3,2,4,0,7,0,12,3,3,164,0
22,1,24,1,2,4,5,3,1,2,1,17,0,9,295,0
0,1,29,1,2.6,2,3,2,0,2,1,11,0,4,127,0
0,3,34,1,3,3,2,4,0,2,0,20,1,4,163,0
3.6,1,23,1,3,4,3,4,0,2,0,21,1,0,121,0
23,2,9,1,2,3,5,4,0,2,0,11,5,7,282,0
4.8,3,19,1,2,3,3,3,0,2,0,11,1,6,121,0
0,1,13,0,2.6,3,3,3,0,2,1,16,0,2,129,1
0,3,18,1,3,4,3,5,0,2,0,18,1,0,120,1
7,1,6,1,2,4,4,2,0,2,1,13,0,3,136,0
0,3,19,1,2,3,2,5,1,3,0,17,0,2,142,1
8,1,31,1,2,4,2,2,2,5,0,14,0,2,137,0
4,3,12,1,3,2,2,2,1,5,0,22,3,7,155,0
18.6,1,12,0,3,4,3,3,1,1,0,12,1,3,122,0
10,3,8,1,3,3,2,3,0,5,1,11,0,0,196,0
0,1,6,0,2.4,4,3,4,2,2,0,13,1,0,128,0
15,1,8,0,2,3,2,2,0,2,0,13,2,2,141,0
16,1,12,1,2,4,1,2,1,5,1,14,1,0,266,0
11,1,26.6,0,2,3,3,5,2,4,0,17,1,0,126,0
16,1,15,1,3,3,2,3,1,4,1,13,2,7,157,0
21,1,6,0,2,4,1,5,0,8,0,11,0,2,254,0
17,2,6,0,2,4,2,3,2,5,0,11,1,2,160,0
7,3,21.8,0,2,3,3,3,1,2,1,18,1,6,126,0
0,3,8,1,2.6,3,3,5,1,1,0,11,0,2,130,1
0,3,28,1,2,3,3,3,2,2,0,11,1,2,134,0
17,1,9,1,2,3,5,2,0,5,1,14.2,1,1,295,0
0,1,12,1,2.4,3,3,3,0,1,0,20,2,2,128,0
6,3,14,1,2,3,2,3,1,1,0,12,1,2,171,0
5,1,15,0,3,3,2,2,0,2,1,12,1,5,163,0
1.2,1,9,0,3,3,3,3,1,2,0,20,1,0,121,0
26,3,6,0,2,3,2,5,2,8,0,20,6,10,184,0
7,1,6,1,2.6,3,3,2,0,2,0,12,6,8,127,0
8,3,32,0,3,3,2,5,0,3,0,14,0,0,143,1
0,1,12,0,3,3,3,2,0,2,1,13,0,2,127,0
10,1,9,1,2,3,0,3,0,2,0,15,6,8,194,0
2,3,9,0,3,3,2,3,0,2,0,14,0,2,156,0
8,1,12,1,2,5,2,2,2,2,0,13,11,8,166,0
6,1,12,1,1,3,2,2,1,4,0,23,4,7,177,0
27,2,25,1,2,3,0,4,0,3,0,15,3,1,207,0
9,1,15,1,2,4,2,4,1,3,1,11,1,2,188,0
7.2,1,9,1,2,4,3,2,2,1,0,13,0,1,120,0
0,1,16,1,2,3,4,3,2,2,1,11,0,1,110,1
0,1,9,1,3,3,3,5,2,2,1,11,9,7,133,1
0.8,1,9,1,2,4,4,3,0,2,0,18,1,0,113,0
0,1,10,1,2.4,2,3,5,0,3,0,16,0,2,128,0
0,3,14,1,2,2,2,4,0,1,0,22,0,2,149,0
11,3,13,0,2,4,2,2,2,1,0,20,1,5,140,0
2,1,6,1,2.4,5,3,2,1,2,0,18,2,8,127,0
21,3,8,1,2,2,2,4,0,4,0,12,2,2,181,0
0,3,9,0,3,2,2,2,1,2,1,20,1,4,146,0
10,1,16,1,3,2,4,2,2,4,0,17,1,0,147,0
23,1,34,1,3,2,3,3,0,2,1,11,3,8,132,0
7,1,15,0,2,4,0,4,2,2,0,14,4,7,186,0
0,3,9,0,3,3,2,3,2,10,0,14,1,0,146,1
12,1,8,0,3,4,2,3,2,2,0,11,2,10,146,0
5,3,16,1,2,3,2,2,2,2,0,12,0,8,154,0
13,3,14,1,2,3,2,3,0,4,1,14,1,3,168,1
11,1,6,0,2,2,2,2,2,1,0,13,1,8,176,0
0,1,6,0,3,3,0,5,0,2,0,11,1,7,174,0
5,1,9,0,2,3,0,2,2,4,0,15,3,5,212,0
20,3,20,1,2,3,2,5,2,3,0,12,0,7,150,0
13,3,11,1,2,4,0,5,0,6,1,21,0,12,205,0
26,1,13,1,2,2,1,3,0,4,0,19,0,3,248,0
14,2,16,1,3,4,5,2,1,4,0,15,6.8,6,291,0
30,3,22,1,2,3,2,5,2,9,0,14,1,2,154,0
0,1,16,1,2,3,0,5,1,2,0,21,1,7,188,0
14,2,6,1,2,4,5,3,0,2,0,12,1,10,292,0
23,3,14,1,2,3,4,4,0,8,0,15,1,2,139,0
8.4,1,6,0,3,5,3,4,2,8,1,13,1,7,122,1
9,1,14,0,3,2,0,5,0,10,0,14,0,8.2,217,0
11,1,6,0,2,3,0,3,2,5,1,14,0,0,179,0
17,1,30,1,2,5,4,3,2,3,0,14,0,4,137,0
20,3,9,0,2,3,1,3,1,10,1,12,7,13,238,0
3,3,33,1,2,3,2,2,1,8,0,23,4,7,153,0
